Time (Sec);S1;S13;S14;S15;S16;S17;S18;S19;S2;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S3;S4;S5;
0.0;19160.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.10000000000000003;19160.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9963392;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.2000000000000001;19160.0;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.98960879999998;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9966968;99.9999;99.9999;
0.30000000000000016;19160.0;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98950879999998;99.97564639999999;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98996639999999;99.99659679999999;99.9998;
0.40000000000000024;19160.0;99.99969999999999;99.99969999999999;99.99969999999999;99.99969999999999;99.99969999999999;99.99969999999999;99.99969999999999;99.98940879999998;99.97554639999998;99.99969999999999;99.99969999999999;99.99969999999999;99.99969999999999;99.99969999999999;99.99969999999999;99.99969999999999;99.99969999999999;99.99969999999999;99.98986639999998;99.98986639999998;99.99649679999999;
0.5000000000000003;19160.0;99.99639679999999;99.99959999999999;99.99959999999999;99.99959999999999;99.99959999999999;99.99959999999999;99.99959999999999;99.98930879999998;99.97544639999998;99.99959999999999;99.99959999999999;99.99959999999999;99.99959999999999;99.99959999999999;99.99959999999999;99.99959999999999;99.99959999999999;99.99959999999999;99.98976639999998;99.98976639999998;99.98976639999998;
0.6000000000000004;19160.0;99.98919279999998;99.99606799999998;99.99949999999998;99.99949999999998;99.99949999999998;99.99949999999998;99.99949999999998;99.98920879999997;99.97534639999998;99.99949999999998;99.99949999999998;99.99949999999998;99.99949999999998;99.99949999999998;99.99949999999998;99.99949999999998;99.99949999999998;99.99949999999998;99.98966639999998;99.98966639999998;99.98966639999998;
0.7000000000000005;19160.0;99.98909279999998;99.98886399999998;99.99596799999998;99.99939999999998;99.99939999999998;99.99939999999998;99.99939999999998;99.98910879999997;99.97524639999997;99.99939999999998;99.99939999999998;99.99939999999998;99.99939999999998;99.99939999999998;99.99939999999998;99.99939999999998;99.99939999999998;99.99939999999998;99.98956639999997;99.98956639999997;99.98956639999997;
0.8000000000000005;19160.0;99.98899279999998;99.98876399999997;99.98876399999997;99.99586799999997;99.99929999999998;99.99929999999998;99.99929999999998;99.98900879999997;99.95099279999997;99.99929999999998;99.99929999999998;99.99929999999998;99.99929999999998;99.99929999999998;99.99929999999998;99.99929999999998;99.99929999999998;99.99929999999998;99.98946639999997;99.98946639999997;99.98946639999997;
0.9000000000000006;19160.0;99.98889279999997;99.98866399999997;99.98866399999997;99.98866399999997;99.99576799999997;99.99919999999997;99.99919999999997;99.98890879999996;99.95089279999996;99.99919999999997;99.99919999999997;99.99919999999997;99.99919999999997;99.99919999999997;99.99919999999997;99.99919999999997;99.99919999999997;99.99919999999997;99.98936639999997;99.98936639999997;99.98936639999997;
1.0;19160.0;99.98879279999997;99.98856399999997;99.98856399999997;99.98856399999997;99.98856399999997;99.99566799999997;99.99909999999997;99.98880879999996;99.92663919999995;99.99909999999997;99.99909999999997;99.99909999999997;99.99909999999997;99.99909999999997;99.99909999999997;99.99909999999997;99.99909999999997;99.99909999999997;99.98926639999996;99.98926639999996;99.98926639999996;
1.100555999999999;19160.0;99.98869279999997;99.98846399999996;99.98846399999996;99.98846399999996;99.98846399999996;99.98846399999996;99.99556799999996;99.96455519999995;99.92653919999995;99.99899999999997;99.99899999999997;99.99899999999997;99.99899999999997;99.99899999999997;99.99899999999997;99.99899999999997;99.99899999999997;99.99899999999997;99.98916639999996;99.97749759999996;99.96501279999995;
1.200555999999997;19160.0;99.98859279999996;99.98836399999996;99.98836399999996;99.98836399999996;99.98836399999996;99.98836399999996;99.98836399999996;99.94030159999994;99.92300719999994;99.99889999999996;99.99889999999996;99.99889999999996;99.99889999999996;99.99889999999996;99.99889999999996;99.99889999999996;99.99889999999996;99.99889999999996;99.97739759999996;99.94157519999996;99.94075919999995;
1.3005559999999954;19160.0;99.98849279999996;99.98826399999996;99.98826399999996;99.98826399999996;99.98826399999996;99.98826399999996;99.97659519999996;99.90437919999994;99.89164959999994;99.99536799999996;99.99879999999996;99.99879999999996;99.99879999999996;99.99879999999996;99.99879999999996;99.99879999999996;99.99879999999996;99.99879999999996;99.94147519999996;99.90565279999996;99.91650559999994;
1.4005559999999935;19160.0;99.98839279999996;99.98816399999995;99.98816399999995;99.98816399999995;99.98816399999995;99.97649519999996;99.95234159999995;99.84430319999993;99.89154959999993;99.98816399999995;99.99526799999995;99.99869999999996;99.99869999999996;99.99869999999996;99.99869999999996;99.99869999999996;99.99869999999996;99.99869999999996;99.90555279999995;99.86973039999995;99.89225199999993;
1.5005559999999916;19160.0;99.98829279999995;99.98806399999995;99.98806399999995;99.98806399999995;99.97639519999996;99.95224159999995;99.95224159999995;99.78422719999992;99.89144959999993;99.98806399999995;99.98806399999995;99.99516799999995;99.99859999999995;99.99859999999995;99.99859999999995;99.99859999999995;99.99859999999995;99.99859999999995;99.86963039999995;99.83380799999995;99.86799839999992;
